Longitude,Latitude
-3.186458473253648,55.94449250862605
-3.186404058138708,55.944492508688235
-3.186349907504344,55.944494795791094
-3.186296643571939,55.94450103404904
-3.186243330719088,55.94450715025957
-3.186190018157114,55.944513266280474
-3.186136705578337,55.944519382278315
-3.186082826246397,55.944522646489645
-3.1860347178420962,55.94450968950048
-3.186006345086296,55.944483901611285
-3.185999964276967,55.94445382361718
-3.186010321089884,55.944423897791786
-3.186035557432096,55.94439712967528
-3.18607568720626,55.94437658444031
-3.186120452948022,55.944359228565354
-3.186166317667344,55.944342866128935
-3.186214420251482,55.94432859358496
-3.186262438591445,55.94431422940282
-3.186310457211846,55.94429986502923
-3.186358475805109,55.94428550063257
-3.186408025580206,55.94427309260774
-3.186461235024817,55.94427531697375
-3.186502375168367,55.94429480455912
-3.186525476862172,55.9443222699799
-3.186537177522533,55.94435206561933
-3.18654714963464,55.944382078402285
-3.18654970769185,55.94441256885969
-3.1865511632531,55.94444308620467
-3.186538542938997,55.94447238596067
-3.186497199300188,55.94449135982032
-3.186443942832884,55.94449740976248
