Longitude,Latitude
-3.6328226900000002,40.38620790016667
-3.632823118,40.38620884866667
-3.632823623333333,40.3862139405
-3.632824262333333,40.38622531066667
-3.632824032166667,40.3862430155
-3.632823524666666,40.38626323983333
-3.632822354,40.386288603333334
-3.632821773166666,40.38631455466667
-3.632821302833333,40.386343178666664
-3.632821199166666,40.3863679535
-3.632822251,40.38639420083334
-3.6328238795,40.38641961383333
-3.632825567166666,40.386442542333334
-3.6328277506666673,40.386467774833335
-3.632829893166667,40.38649087866666
-3.6328322175,40.38651620666667
-3.632835305333333,40.3865394385
-3.632842995166666,40.386564623
-3.6328561070000003,40.386586279166664
-3.632878783333333,40.3866068735
-3.632904733166667,40.38662134916667
-3.632938018833333,40.38663156516667
-3.632971007333333,40.386634832333336
-3.633007907,40.386630839
-3.633040027666666,40.386620246166665
-3.633070722666666,40.386601296
-3.6330936830000002,40.386579088833344
-3.633115445833333,40.38655171766667
-3.633133196666667,40.38652521033333
-3.633151888,40.386495120666666
-3.633171065333333,40.38646503933333
-3.633188393666666,40.386437474
-3.633207098666666,40.386406769666664
-3.633223154166666,40.3863788195
-3.6332403415,40.38634865216667
-3.633255299,40.38632178533334
-3.6332708905,40.386292226
-3.633283818166666,40.386264756833334
-3.6332952865,40.3862336425
-3.6333021008333333,40.386204777833335
-3.633303937333333,40.386172609666666
-3.633299694666666,40.38614384216667
-3.633288752833333,40.386113479
-3.633272857666666,40.386087845166664
-3.633248046666666,40.386063394333334
-3.633219239666666,40.386046394666664
-3.633182710333333,40.386034881
-3.6331472695,40.3860312235
-3.633104869166666,40.386034963166665
-3.633068521,40.386045377
-3.6330385315,40.38605930116667
-3.633009677,40.386077497833334
-3.6329871041666673,40.386095289
-3.632966523166666,40.38611680166667
-3.632951810833333,40.38613777566667
-3.6329413453333332,40.38616218883333
-3.6329384765,40.38618541266667
-3.632944456,40.386210377666664
-3.632957818166666,40.386230849
-3.6329798575,40.38624929216667
-3.633004727333333,40.3862614115
-3.633035802166667,40.38626894983334
-3.633065992999999,40.386270166
-3.6330993368333333,40.38626479333333
-3.633127706333333,40.38625387766667
-3.633154105166666,40.38623577566667
-3.633172370833333,40.38621211466667
-3.6331812371666663,40.386187795666665
-3.633182423,40.386159904
-3.633176079833333,40.38613505666667
-3.633162324,40.3861093425
-3.633145546666666,40.3860880665
-3.6331239650000002,40.386066844
-3.633101429,40.3860494475
-3.633073006666666,40.3860332015
-3.633044308833333,40.386021883
-3.6330103153333333,40.38601454016667
-3.632978332,40.38601314933333
-3.632943637333333,40.386017682
-3.6329140645,40.38602708416666
-3.632885428333333,40.38604238883333
-3.632862906666666,40.3860591205
-3.632842502166666,40.38608002316667
-3.6328282216666663,40.38610052233334
-3.632817102666666,40.386123449833335
-3.632811282833333,40.38614629733333
-3.632809652666666,40.38616489466666
-3.6328226900000002,40.38620790016667
