steering_angle,waypoint1_lat,waypoint1_lon,waypoint2_lat,waypoint2_lon,waypoint3_lat,waypoint3_lon,waypoint4_lat,waypoint4_lon,waypoint5_lat,waypoint5_lon,waypoint6_lat,waypoint6_lon,waypoint7_lat,waypoint7_lon,waypoint8_lat,waypoint8_lon,waypoint9_lat,waypoint9_lon
23.0,0.03806891998058866,-0.013274392076986755,0.3622377183172975,-0.06934383629783068,1.3525663640993255,-0.113695573122675,3.1191900771857224,-0.12654537898075094,5.195454591857991,-0.08643915915951607,7.890612063987755,-0.017378397011998756,10.680506933537774,0.053422984258895176,13.883126669264897,0.10059083705944961,16.70024537841039,0.11980890644419032
23.0,0.06220206244681681,-0.03560593860374653,0.42047928063681417,-0.06890512983911086,1.4835034634177813,-0.11392199989562464,3.303464381614519,-0.11498335704419138,5.429142618739921,-0.08608536161237156,8.164534328553957,-0.018043530496591395,10.980320511458851,0.049177447114238874,14.178109918270337,0.09501503284646412,16.949220198864786,0.15121168475326277
23.0,0.07386147878476218,-0.03586067100180306,0.5075917793946069,-0.07905197192854743,1.6212141295286078,-0.11379463151226048,3.4973623338841806,-0.11353987075630675,5.668493787747218,-0.08643915372352232,8.441861888794431,-0.020010628394020572,11.241972630960419,0.08837788382409019,14.472130800921144,0.08870333669317007,17.22569643786073,0.14269231268088786
23.0,0.08835246780799481,-0.036087099813094235,0.5869683467423948,-0.07854250613945099,1.7648285313617327,-0.11471449643658962,3.696072105728674,-0.11353986773686187,5.90040513855764,-0.071225973631124,8.723927239513197,-0.01972759186652426,11.542304404481712,0.08317002443503799,14.730914335597257,0.1251300057284711,17.499896313540333,0.13445597672354698
23.0,0.10532339664937515,-0.03634183222151619,0.6707310775009627,-0.07925009547645291,1.933297849943949,-0.13350808476362777,3.8992790847579903,-0.11396441866899322,6.145030806232483,-0.07087217646793513,8.961446216895295,0.028530002893101647,11.843135865847831,0.07784895122920499,15.021603957314705,0.11778522932626663,17.772652643624777,0.12658758745589993
23.0,0.13465700875785602,-0.05799409183386696,0.7601199389776033,-0.08200969606315506,2.086332320235825,-0.13563085208009512,4.096656352556314,-0.10378927404315749,6.394505312100485,-0.07152315660378122,9.247379532046793,0.025119421289685633,12.14441149773237,0.0723722088080461,15.310942567532363,0.11097822089882592,18.30015797965815,0.12401195643733225
23.0,0.15706899853093606,-0.057824270039648344,0.876954697384814,-0.0993881081366289,2.2439380234427055,-0.13499401819555776,4.310819480473298,-0.10318074384744122,6.647792260762979,-0.07182034179179753,9.538402277936266,0.0207182147914098,12.713279999322035,0.09781710383209295,15.59922627892155,0.10412875779646254,18.569657075715554,0.11628508621200227
23.0,0.18321940566265757,-0.058432797333791545,0.9820560106692237,-0.09805783727064452,2.4076695452605446,-0.13516383684581,4.530035021437502,-0.10223257057748417,7.122737679761704,-0.051625732093798754,9.831405274008178,0.01645852653713725,13.011946142073942,0.09105254938502721,15.853808723118183,0.13991859106448745,18.837268456899213,0.10956299199668289
23.0,0.21301569166710596,-0.05905547651294776,1.092690920930971,-0.09644453044953416,2.754490925438545,-0.1278898060347535,4.75223019442255,-0.10054850393417797,7.389627281003593,-0.05343715938867659,10.085858168112855,0.05888557746521013,13.309039187636738,0.08486821832515366,16.137761793152517,0.13364934999679037,19.10728574887138,0.10143987314530932
23.0,0.3098628773513336,-0.06976839077751723,1.2118205478205815,-0.09669926128229056,2.9343420539258975,-0.12834266051364193,4.966282281281993,-0.08625518848586064,7.6598296395363,-0.05373434503024927,10.381507666825073,0.05686186998928345,13.586718381283529,0.10656289152111603,16.41969759939533,0.12679988680526486,19.37219510625226,0.09429322698325514
