Name,Mean lateral error,Max lateral error,Acc lateral error,RMSE lateral error,Std lateral error,Off-path rate (>0.5m),Area Between Curves (ABC)
cnn,0.4893708357925515,2.4436215047972127,178.62035506428128,0.7743003294006442,0.6000476524290764,0.3123287671232876,49.352710541690726
lstm,0.4608442539928358,1.0833287349717036,168.20815270738507,0.5559542248804024,0.3109785743811873,0.4684931506849315,46.43408037751468
neural_network,0.6769661436242927,2.0447819325762424,256.57016843360697,0.8440243051182038,0.5040772440972915,0.5514511873350924,70.56340891779297
random_forest_1,1.8185498662451551,8.907356580631557,745.6054451605136,2.819297114298854,2.154370581555916,0.7195121951219512,206.338988319274
random_forest_2,0.7248340667598889,1.8670367442290767,269.6382728346787,0.8485127092853685,0.4411228779865279,0.6586021505376344,74.47373033385426
xgboost,0.3760662538066951,1.2989506225975045,138.01631514705713,0.4823165928705656,0.3019991200418791,0.3242506811989101,38.08751055956824
transformer,0.196857383631641,0.908050047414364,72.44351717644389,0.283338832038423,0.2037843572274441,0.0733695652173913,20.04357757766229
transformerpe,0.3524164729815137,1.273544232547887,130.3940950031601,0.4648901944,0.3031922202506849,0.2864864864864865,35.99825137855513
transformer10,0.1936195882001943,0.883543560355118,71.63924763407189,0.280469550730358,0.2029153122661669,0.0864864864864864,19.824139571760043
transformer10_4,0.2079333606607453,0.957871515114739,76.31154336249354,0.2998883308372461,0.2160942583612021,0.0762942779291553,21.10199751702966
transformer_dql_10,0.1964263298964677,0.9370329177843192,72.28488940190013,0.291152656131621,0.2149106002408954,0.0815217391304347,20.001354107425264
transformer_dql6,0.17730445537834,0.835107891107593,65.60264848998582,0.2546385941411055,0.1827674580693972,0.0702702702702702,18.089236342081936
transformer_dql7,0.1735513679604401,0.8196829621484881,63.69335204148153,0.2610154176929745,0.1949588955459532,0.0790190735694822,17.610319151112595
transformer_dql_alt,0.6924613404142068,1.6752356046322756,258.98054131491335,0.823526179215944,0.44574954838538106,0.606951871657754,71.3259943984831
